City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sambava,MG,2020-06-18 16:44:57,-14.27,50.17,72.32,83,100,18.03
1,Provideniya,RU,2020-06-18 16:44:58,64.38,-173.3,56.21,57,12,2.68
2,Nerja,ES,2020-06-18 16:44:58,36.76,-3.89,73.99,75,76,1.79
3,Nieuw Amsterdam,SR,2020-06-18 16:44:58,5.88,-55.08,87.8,58,75,9.17
4,Chkalovsk,RU,2020-06-18 16:44:58,56.76,43.24,69.8,60,20,4.47
5,Okha,RU,2020-06-18 16:44:58,53.57,142.95,39.58,95,100,9.37
6,Grajau,BR,2020-06-18 16:44:58,-5.82,-46.14,87.21,40,0,7.31
7,Yagodnoye,RU,2020-06-18 16:44:59,62.55,149.67,54.46,56,63,4.45
8,Port Alfred,ZA,2020-06-18 16:44:59,-33.59,26.89,59.0,74,0,4.0
9,Puerto Ayora,EC,2020-06-18 16:44:59,-0.74,-90.35,80.6,57,20,19.46
10,Troyes,FR,2020-06-18 16:44:59,48.33,4.08,68.0,56,48,13.87
11,Pirgos,GR,2020-06-18 16:44:59,35.12,25.72,81.0,61,0,11.01
12,Georgetown,MY,2020-06-18 16:45:00,5.41,100.34,84.2,79,20,4.7
13,Atuona,PF,2020-06-18 16:45:00,-9.8,-139.03,79.3,78,39,11.79
14,Rikitea,PF,2020-06-18 16:45:00,-23.12,-134.97,76.1,84,92,18.25
15,Kijang,KR,2020-06-18 16:45:00,35.24,129.21,68.0,77,90,10.29
16,Busselton,AU,2020-06-18 16:45:00,-33.65,115.33,44.01,95,12,4.81
17,Dikson,RU,2020-06-18 16:45:01,73.51,80.55,33.08,92,51,14.88
18,Manhattan,US,2020-06-18 16:43:11,40.78,-73.97,77.0,69,75,11.43
19,Coquimbo,CL,2020-06-18 16:45:01,-29.95,-71.34,62.6,45,100,2.24
20,Victoria,HK,2020-06-18 16:45:01,22.29,114.16,84.0,74,3,4.0
21,Arraial Do Cabo,BR,2020-06-18 16:45:01,-22.97,-42.03,78.8,54,20,17.22
22,Hithadhoo,MV,2020-06-18 16:45:02,-0.6,73.08,84.58,77,95,11.41
23,Pozo Colorado,PY,2020-06-18 16:45:02,-23.49,-58.8,82.26,52,44,8.93
24,Camden,US,2020-06-18 16:42:25,39.78,-74.97,73.0,91,98,8.68
25,Avarua,CK,2020-06-18 16:45:02,-21.21,-159.78,69.8,77,35,9.17
26,Warmbad,NA,2020-06-18 16:45:03,-28.45,18.73,63.7,29,0,8.23
27,Qaanaaq,GL,2020-06-18 16:45:03,77.48,-69.36,34.95,86,0,1.21
28,Touros,BR,2020-06-18 16:45:03,-5.2,-35.46,75.2,94,90,9.17
29,Constitucion,CL,2020-06-18 16:45:04,-35.33,-72.42,55.78,83,100,22.39
30,Hermanus,ZA,2020-06-18 16:45:04,-34.42,19.23,57.0,69,0,4.29
31,Saskylakh,RU,2020-06-18 16:45:04,71.92,114.08,62.89,61,70,8.25
32,Cherskiy,RU,2020-06-18 16:45:04,68.75,161.3,63.55,43,8,6.98
33,Tuktoyaktuk,CA,2020-06-18 16:45:04,69.45,-133.04,42.8,93,90,11.41
34,Bardiyah,LY,2020-06-18 16:45:04,31.76,25.09,75.22,56,0,19.91
35,Albertville,US,2020-06-18 16:45:05,34.27,-86.21,79.0,50,1,3.76
36,Quatre Cocos,MU,2020-06-18 16:45:05,-20.21,57.76,71.6,68,75,10.29
37,Atherton,GB,2020-06-18 16:40:13,53.52,-2.49,57.0,94,100,1.99
38,Tiksi,RU,2020-06-18 16:45:05,71.69,128.87,53.08,72,99,2.8
39,Camacha,PT,2020-06-18 16:45:05,33.08,-16.33,73.4,73,40,13.87
40,Nome,US,2020-06-18 16:45:06,64.5,-165.41,60.01,71,1,9.17
41,Bredasdorp,ZA,2020-06-18 16:45:06,-34.53,20.04,60.8,63,0,4.47
42,Kurbnesh,AL,2020-06-18 16:45:06,41.78,20.08,78.8,50,13,6.93
43,Necochea,AR,2020-06-18 16:45:06,-38.55,-58.74,57.0,90,86,5.99
44,Charters Towers,AU,2020-06-18 16:45:06,-20.1,146.27,59.25,94,27,8.75
45,Kapaa,US,2020-06-18 16:45:07,22.08,-159.32,77.0,83,1,11.41
46,Kruisfontein,ZA,2020-06-18 16:45:07,-34.0,24.73,58.77,44,0,6.33
47,Alenquer,BR,2020-06-18 16:45:07,-1.94,-54.74,87.73,59,99,5.88
48,Saint-Georges,GD,2020-06-18 16:40:45,12.06,-61.75,86.0,74,40,20.8
49,Poya,NC,2020-06-18 16:45:07,-21.35,165.15,69.06,84,99,4.72
50,Lavrentiya,RU,2020-06-18 16:45:07,65.58,-171.0,47.21,67,5,2.08
51,Yellowknife,CA,2020-06-18 16:45:08,62.46,-114.35,62.01,66,20,12.75
52,New Norfolk,AU,2020-06-18 16:45:08,-42.78,147.06,39.0,85,100,2.68
53,Kodiak,US,2020-06-18 16:45:08,57.79,-152.41,50.0,87,75,13.87
54,Presidencia Roque Saenz Pena,AR,2020-06-18 16:45:08,-26.79,-60.44,78.01,55,90,4.0
55,Albany,US,2020-06-18 16:43:52,42.6,-73.97,82.0,57,5,5.73
56,Butaritari,KI,2020-06-18 16:45:09,3.07,172.79,83.12,64,98,7.25
57,Aguia Branca,BR,2020-06-18 16:45:09,-18.98,-40.74,77.85,57,55,4.38
58,Ushuaia,AR,2020-06-18 16:41:30,-54.8,-68.3,33.8,80,6,7.74
59,Acapulco,MX,2020-06-18 16:44:10,16.86,-99.89,89.6,52,75,8.05
60,Cape Town,ZA,2020-06-18 16:45:09,-33.93,18.42,71.01,40,0,4.7
61,Zhigansk,RU,2020-06-18 16:45:10,66.77,123.37,61.25,60,45,9.75
62,Turochak,RU,2020-06-18 16:45:10,52.26,87.12,54.07,91,95,3.69
63,Hilo,US,2020-06-18 16:44:34,19.73,-155.09,71.6,83,90,5.82
64,Faya,SA,2020-06-18 16:45:10,18.39,42.45,75.2,73,40,13.87
65,Bathsheba,BB,2020-06-18 16:40:39,13.22,-59.52,86.0,74,75,20.8
66,Villa Carlos Paz,AR,2020-06-18 16:45:11,-31.42,-64.5,71.01,24,25,5.82
67,Naze,JP,2020-06-18 16:40:51,28.37,129.48,78.8,100,20,9.17
68,Yarmouth,US,2020-06-18 16:44:10,41.71,-70.23,75.0,73,20,11.41
69,Mataura,NZ,2020-06-18 16:45:11,-46.19,168.86,39.0,83,0,3.0
70,Alghero,IT,2020-06-18 16:45:11,40.56,8.32,75.2,60,13,11.41
71,Khatanga,RU,2020-06-18 16:45:12,71.97,102.5,54.1,54,99,12.84
72,Mahebourg,MU,2020-06-18 16:45:12,-20.41,57.7,71.6,68,75,10.29
73,Spalding,US,2020-06-18 16:44:58,33.27,-84.28,81.0,50,75,3.36
74,Upernavik,GL,2020-06-18 16:45:12,72.79,-56.15,35.96,82,0,9.57
75,Timizart,DZ,2020-06-18 16:45:13,36.8,4.27,76.5,48,70,10.42
76,Ilulissat,GL,2020-06-18 16:44:32,69.22,-51.1,33.8,66,90,4.7
77,Massakory,TD,2020-06-18 16:45:13,13.0,15.73,96.3,31,8,13.44
78,San Quintin,MX,2020-06-18 16:41:00,30.48,-115.95,64.78,67,98,8.39
79,Portland,US,2020-06-18 16:41:20,45.52,-122.68,62.01,77,75,3.36
80,Conakry,GN,2020-06-18 16:45:14,9.54,-13.68,75.2,94,75,9.17
81,Norman Wells,CA,2020-06-18 16:45:14,65.28,-126.83,69.8,60,75,8.05
82,Bubaque,GW,2020-06-18 16:45:14,11.28,-15.83,82.02,79,4,9.24
83,Dalvik,IS,2020-06-18 16:45:14,65.97,-18.53,60.8,44,9,9.17
84,Grand Baie,MU,2020-06-18 16:45:15,-20.02,57.58,71.01,72,100,8.01
85,Grand Gaube,MU,2020-06-18 16:40:22,-20.01,57.66,71.01,72,100,7.0
86,Aswan,EG,2020-06-18 16:45:15,24.09,32.91,95.76,10,14,15.75
87,Kapuskasing,CA,2020-06-18 16:45:15,49.42,-82.43,82.4,42,20,17.22
88,Bluff,NZ,2020-06-18 16:45:16,-46.6,168.33,39.0,83,1,3.0
89,Nikolskoye,RU,2020-06-18 16:45:16,59.7,30.79,84.99,58,75,4.47
90,Alyangula,AU,2020-06-18 16:45:16,-13.85,136.42,69.8,94,1,10.31
91,Vaini,TO,2020-06-18 16:45:16,-21.2,-175.2,69.8,83,20,9.17
92,Iquique,CL,2020-06-18 16:45:16,-20.22,-70.14,64.4,63,40,6.93
93,Barrow,US,2020-06-18 16:45:17,71.29,-156.79,39.2,68,1,8.05
94,Leningradskiy,RU,2020-06-18 16:45:17,69.38,178.42,43.23,64,79,1.48
95,Hauterive,FR,2020-06-18 16:45:17,46.09,3.45,64.4,55,59,10.29
96,East London,ZA,2020-06-18 16:45:17,-33.02,27.91,65.75,61,0,13.65
97,Mana,GF,2020-06-18 16:45:18,5.66,-53.78,82.0,82,11,7.74
98,Petropavlovsk-Kamchatskiy,RU,2020-06-18 16:45:09,53.05,158.65,41.0,100,90,2.24
99,Marion,US,2020-06-18 16:42:01,39.77,-86.16,82.4,53,40,6.58
100,Castro,BR,2020-06-18 16:42:05,-24.79,-50.01,67.82,67,92,12.28
101,Bowen,AU,2020-06-18 16:45:18,-20.02,148.23,69.01,88,75,10.29
102,Mocuba,MZ,2020-06-18 16:45:19,-16.84,36.99,65.3,94,77,5.5
103,Ancud,CL,2020-06-18 16:45:19,-41.87,-73.82,55.0,87,20,9.17
104,Makat,KZ,2020-06-18 16:45:19,47.65,53.35,88.36,22,0,5.86
105,Coihaique,CL,2020-06-18 16:40:24,-45.58,-72.07,48.2,70,40,4.7
106,Souillac,MU,2020-06-18 16:45:19,-20.52,57.52,71.6,68,75,10.29
107,Ossora,RU,2020-06-18 16:45:20,59.24,163.07,50.2,80,0,2.91
108,Kaitangata,NZ,2020-06-18 16:45:20,-46.28,169.85,39.0,84,20,7.29
109,Zandvoort,NL,2020-06-18 16:40:58,52.37,4.53,70.0,64,20,6.93
110,Svetlyy,RU,2020-06-18 16:45:20,54.67,20.13,84.2,51,40,8.95
111,Punta Arenas,CL,2020-06-18 16:45:21,-53.15,-70.92,39.2,86,90,13.87
112,Saldanha,ZA,2020-06-18 16:45:21,-33.01,17.94,68.0,42,0,5.82
113,Cap-Aux-Meules,CA,2020-06-18 16:45:21,47.38,-61.86,77.0,50,40,12.75
114,Gambela,ET,2020-06-18 16:45:21,8.25,34.58,72.32,93,100,2.19
115,Valdosta,US,2020-06-18 16:45:18,30.83,-83.28,82.99,61,40,3.62
116,Carnarvon,AU,2020-06-18 16:45:22,-24.87,113.63,60.8,82,0,13.87
117,Mecca,SA,2020-06-18 16:45:16,21.43,39.83,91.24,31,84,8.66
118,Zeya,RU,2020-06-18 16:45:22,53.75,127.27,55.96,66,84,2.71
119,San Lawrenz,MT,2020-06-18 16:45:22,36.06,14.2,81.0,42,6,8.05
120,Antalaha,MG,2020-06-18 16:45:22,-14.9,50.28,70.95,90,100,12.88
121,Esperance,AU,2020-06-18 16:45:23,-33.87,121.9,48.2,87,42,14.99
122,Bethel,US,2020-06-18 16:45:23,41.37,-73.41,80.01,65,20,6.93
123,Great Bend,US,2020-06-18 16:45:23,38.36,-98.76,90.0,48,1,21.92
124,Beroroha,MG,2020-06-18 16:45:23,-21.67,45.17,67.15,48,0,8.97
125,Marawi,PH,2020-06-18 16:45:24,8.0,124.29,73.99,96,99,1.99
126,Gotsu,JP,2020-06-18 16:45:24,35.0,132.22,64.58,95,100,8.9
127,Anagni,IT,2020-06-18 16:45:24,41.74,13.15,75.2,57,40,13.87
128,Sitka,US,2020-06-18 16:45:24,57.05,-135.33,51.8,87,90,5.82
129,Saint-Philippe,RE,2020-06-18 16:45:24,-21.36,55.77,69.8,73,75,16.11
130,Torbay,CA,2020-06-18 16:43:05,47.67,-52.73,71.01,56,90,21.92
131,Airai,TL,2020-06-18 16:45:25,-8.93,125.41,57.52,100,92,3.89
132,Namatanai,PG,2020-06-18 16:45:25,-3.67,152.43,79.79,83,14,6.93
133,Kavaratti,IN,2020-06-18 16:45:26,10.57,72.64,84.97,79,100,14.45
134,Cayenne,GF,2020-06-18 16:45:26,4.93,-52.33,77.0,100,75,4.7
135,Espanola,US,2020-06-18 16:45:23,35.99,-106.08,73.99,12,1,9.17
136,Tuatapere,NZ,2020-06-18 16:45:26,-46.13,167.68,39.0,83,10,3.0
