,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Mataura,NZ,-46.19,168.86,48.18,72,79,1.32,broken clouds,0.0,0
1,Ozernovskiy,RU,51.5,156.52,46.42,77,100,1.63,overcast clouds,0.0,0
2,San Patricio,MX,19.22,-104.7,84.2,74,20,9.17,few clouds,0.0,0
3,Atkinson,US,42.84,-71.15,81.0,57,1,8.05,clear sky,0.0,0
4,Cozma,RO,46.81,24.52,63.0,93,100,3.36,light intensity shower rain,0.0,0
5,Dikson,RU,73.51,80.55,35.55,86,0,0.69,clear sky,0.0,0
6,Emerald,AU,-23.53,148.17,69.01,60,0,5.82,clear sky,0.0,0
7,Ilulissat,GL,69.22,-51.1,51.8,37,0,17.22,clear sky,0.0,0
8,Cape Town,ZA,-33.93,18.42,61.0,87,75,4.7,broken clouds,0.0,0
9,Tuatapere,NZ,-46.13,167.68,50.97,69,46,1.05,scattered clouds,0.0,0
10,Codrington,AU,-38.27,141.97,55.49,70,55,13.49,broken clouds,0.0,0
11,Kapaa,US,22.08,-159.32,82.99,69,40,20.8,scattered clouds,0.0,0
12,Busselton,AU,-33.65,115.33,37.99,92,0,10.8,clear sky,0.0,0
13,Hithadhoo,MV,-0.6,73.08,83.17,73,100,12.15,moderate rain,1.03,0
14,Puerto Ayora,EC,-0.74,-90.35,70.0,93,52,1.99,broken clouds,0.0,0
15,Voorst,NL,52.17,6.13,59.0,86,51,1.99,broken clouds,0.0,0
16,Bluff,NZ,-46.6,168.33,47.39,80,89,7.94,overcast clouds,0.0,0
17,Tshela,CD,-4.98,12.93,68.22,96,75,0.4,broken clouds,0.0,0
18,Castro,BR,-24.79,-50.01,58.46,94,7,5.01,clear sky,0.0,0
19,Ushuaia,AR,-54.8,-68.3,37.4,86,75,4.7,shower rain,0.0,0
20,Cabo San Lucas,MX,22.89,-109.91,93.2,20,5,6.93,clear sky,0.0,0
21,Iralaya,HN,15.0,-83.23,82.4,83,40,5.82,scattered clouds,0.0,0
22,Rikitea,PF,-23.12,-134.97,75.06,80,100,19.93,overcast clouds,0.0,0
23,Kailua,US,21.4,-157.74,84.2,61,75,14.99,broken clouds,0.0,0
24,Tateyama,JP,34.98,139.87,75.0,73,75,3.36,broken clouds,0.0,0
25,Kavieng,PG,-2.57,150.8,84.92,72,26,8.72,scattered clouds,0.0,0
26,Luderitz,NA,-26.65,15.16,62.6,36,0,4.7,clear sky,0.0,0
27,Hasaki,JP,35.73,140.83,80.01,64,20,3.36,few clouds,0.0,0
28,Vaini,TO,-21.2,-175.2,75.2,78,75,13.87,broken clouds,0.0,0
29,Tasiilaq,GL,65.61,-37.64,38.03,89,100,2.77,overcast clouds,0.0,0
30,Khatanga,RU,71.97,102.5,55.04,61,100,9.46,overcast clouds,0.0,0
31,Luganville,VU,-15.53,167.17,82.4,74,75,5.82,broken clouds,0.0,0
32,Severo-Kurilsk,RU,50.68,156.12,42.31,91,100,18.23,overcast clouds,0.0,0
33,Hami,CN,42.8,93.45,78.31,30,100,6.51,overcast clouds,0.0,0
34,Portland,US,45.52,-122.68,86.0,30,1,4.7,clear sky,0.0,0
35,Yarada,IN,17.65,83.27,82.4,88,40,2.24,mist,0.0,0
36,Caravelas,BR,-17.71,-39.25,72.52,89,33,5.48,scattered clouds,0.0,0
37,Avarua,CK,-21.21,-159.78,77.0,53,46,6.93,scattered clouds,0.0,0
38,Paita,PE,-5.09,-81.11,65.75,82,0,15.95,clear sky,0.0,0
39,Punta Arenas,CL,-53.15,-70.92,35.6,93,100,14.99,overcast clouds,0.0,0
40,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,light rain,0.0,0
41,Iqaluit,CA,63.75,-68.51,41.0,75,90,10.29,overcast clouds,0.0,0
42,Aksarka,RU,66.56,67.8,51.53,52,100,12.77,overcast clouds,0.0,0
43,Jamestown,US,42.1,-79.24,69.01,100,90,3.36,light rain,0.0,0
44,Albany,US,42.6,-73.97,79.0,72,88,5.01,overcast clouds,0.0,0
45,Ribeira Grande,PT,38.52,-28.7,64.92,87,98,17.11,overcast clouds,0.0,0
46,Colchester,GB,51.89,0.9,59.0,80,94,7.94,overcast clouds,0.0,0
47,Derzhavinsk,KZ,51.1,66.32,50.47,59,1,3.83,clear sky,0.0,0
48,Lompoc,US,34.64,-120.46,66.0,72,82,11.41,broken clouds,0.0,0
49,Hay River,CA,60.82,-115.8,84.2,32,20,16.11,few clouds,0.0,0
50,Longyearbyen,SJ,78.22,15.64,42.8,70,20,3.36,few clouds,0.0,0
51,Qaqortoq,GL,60.72,-46.03,42.8,70,100,9.17,overcast clouds,0.0,0
52,Bethel,US,41.37,-73.41,73.4,69,40,11.41,scattered clouds,0.0,0
53,Atuona,PF,-9.8,-139.03,80.53,73,57,12.73,broken clouds,0.0,0
54,Hermanus,ZA,-34.42,19.23,53.01,93,54,10.87,broken clouds,0.0,0
55,Alofi,NU,-19.06,-169.92,78.8,61,41,17.22,scattered clouds,0.0,0
56,Isangel,VU,-19.55,169.27,77.0,73,75,11.41,broken clouds,0.0,0
57,Airai,TL,-8.93,125.41,66.13,89,91,5.64,overcast clouds,0.0,0
58,Manaus,BR,-3.1,-60.02,82.4,78,20,3.36,few clouds,0.0,0
59,Virginia Beach,US,36.85,-75.98,77.0,78,75,5.82,broken clouds,0.0,0
60,Kaitangata,NZ,-46.28,169.85,53.01,62,37,4.0,scattered clouds,0.0,0
61,Aksu,CN,41.12,80.26,71.31,31,66,3.36,broken clouds,0.0,0
62,Abu Kamal,SY,34.45,40.92,73.22,57,0,10.22,clear sky,0.0,0
63,Butaritari,KI,3.07,172.79,80.98,82,99,17.4,light rain,0.12,0
64,Salgueiro,BR,-8.07,-39.12,70.74,88,84,14.7,moderate rain,1.01,0
65,Fortuna,US,40.6,-124.16,57.0,93,90,11.41,overcast clouds,0.0,0
66,Udachnyy,RU,66.42,112.4,69.8,46,0,6.71,clear sky,0.0,0
67,Saint-Philippe,RE,-21.36,55.77,69.8,68,75,17.22,broken clouds,0.0,0
68,Ranau,MY,5.95,116.66,82.4,88,20,1.41,thunderstorm,0.0,0
69,Barreirinhas,BR,-2.75,-42.83,75.6,92,0,3.74,clear sky,0.0,0
70,Jacksonville,US,30.33,-81.66,81.0,74,75,13.87,broken clouds,0.0,0
71,Arraial Do Cabo,BR,-22.97,-42.03,69.8,88,0,6.93,clear sky,0.0,0
72,Bandarbeyla,SO,9.49,50.81,82.47,60,100,25.26,overcast clouds,0.0,0
73,Kovdor,RU,67.57,30.48,41.41,81,0,3.09,clear sky,0.0,0
74,Yellowknife,CA,62.46,-114.35,75.2,23,20,13.87,few clouds,0.0,0
75,Cherskiy,RU,68.75,161.3,81.84,26,0,5.55,clear sky,0.0,0
76,Bathsheba,BB,13.22,-59.52,78.8,88,75,6.93,light intensity shower rain,0.0,0
77,East London,ZA,-33.02,27.91,66.97,32,0,9.51,clear sky,0.0,0
78,Dunedin,NZ,-45.87,170.5,53.01,66,30,10.0,scattered clouds,0.0,0
79,Baghdad,IQ,33.34,44.4,80.6,28,0,4.7,clear sky,0.0,0
80,Hobart,AU,-42.88,147.33,53.01,87,40,4.7,scattered clouds,0.0,0
81,Kruisfontein,ZA,-34.0,24.73,61.65,32,0,16.08,clear sky,0.0,0
82,Krasnoselkup,RU,65.7,82.47,47.82,67,100,9.28,moderate rain,1.69,0
83,Moerai,PF,-22.43,-151.33,71.28,80,61,18.03,broken clouds,0.0,0
84,Camacha,PT,33.08,-16.33,68.0,77,20,9.17,few clouds,0.0,0
85,Mount Gambier,AU,-37.83,140.77,48.2,93,40,13.87,scattered clouds,0.0,0
86,Cockburn Town,TC,21.46,-71.14,82.6,81,0,20.24,clear sky,0.0,0
87,Mahebourg,MU,-20.41,57.7,71.6,68,40,14.99,scattered clouds,0.0,0
88,Ahuimanu,US,21.44,-157.84,84.2,61,75,14.99,broken clouds,0.0,0
89,Kavaratti,IN,10.57,72.64,84.11,74,100,13.89,overcast clouds,0.0,0
90,Nieuw Nickerie,SR,5.95,-56.98,79.2,86,15,9.71,few clouds,0.0,0
91,Ancud,CL,-41.87,-73.82,48.0,100,75,8.05,broken clouds,0.0,0
92,Port Lincoln,AU,-34.73,135.87,54.97,64,77,22.17,light rain,0.13,0
93,Merauke,ID,-8.47,140.33,80.65,77,34,14.88,scattered clouds,0.0,0
94,Gazli,UZ,40.13,63.45,76.39,18,0,6.46,clear sky,0.0,0
95,Tuktoyaktuk,CA,69.45,-133.04,48.2,70,90,12.75,overcast clouds,0.0,0
96,Majene,ID,-3.54,118.97,81.54,79,94,13.85,overcast clouds,0.0,0
97,Bredasdorp,ZA,-34.53,20.04,51.8,93,6,7.02,clear sky,0.0,0
98,Fukue,JP,32.69,128.84,71.6,83,75,11.41,broken clouds,0.0,0
99,San Ignacio,BZ,17.16,-89.07,80.6,88,75,4.7,broken clouds,0.0,0
100,Dwarka,IN,22.24,68.97,85.66,80,3,16.28,clear sky,0.0,0
101,Constitucion,CL,-35.33,-72.42,53.74,92,91,7.36,light rain,0.14,0
102,Turukhansk,RU,65.82,87.98,57.54,90,100,7.67,light rain,0.42,0
103,Cuamba,MZ,-14.8,36.54,56.7,94,86,5.84,overcast clouds,0.0,0
104,Licheng,CN,23.3,113.83,87.01,66,75,5.86,broken clouds,0.0,0
105,Umba,RU,66.69,34.34,44.65,75,51,4.25,broken clouds,0.0,0
