,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,San Patricio,MX,84.2,few clouds,19.22,-104.7,Hotel Cabo Blanco
3,Atkinson,US,81.0,clear sky,42.84,-71.15,Atkinson Resort & Country Club
11,Kapaa,US,82.99,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
21,Iralaya,HN,82.4,scattered clouds,15.0,-83.23,Iglesia morava renovada
23,Kailua,US,84.2,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
25,Kavieng,PG,84.92,scattered clouds,-2.57,150.8,Nusa Island Retreat
27,Hasaki,JP,80.01,few clouds,35.73,140.83,Inubosaki Kanko Hotel
31,Luganville,VU,82.4,broken clouds,-15.53,167.17,The Espiritu Hotel
34,Portland,US,86.0,clear sky,45.52,-122.68,Portland Marriott City Center
35,Yarada,IN,82.4,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
49,Hay River,CA,84.2,few clouds,60.82,-115.8,Ptarmigan Inn Hotels
53,Atuona,PF,80.53,broken clouds,-9.8,-139.03,Villa Enata
58,Manaus,BR,82.4,few clouds,-3.1,-60.02,Hotel do Largo
68,Ranau,MY,82.4,thunderstorm,5.95,116.66,Ranau Backpackers Hostel
70,Jacksonville,US,81.0,broken clouds,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
72,Bandarbeyla,SO,82.47,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
75,Cherskiy,RU,81.84,clear sky,68.75,161.3,Gostinitsa
79,Baghdad,IQ,80.6,clear sky,33.34,44.4,Baghdad Hotel
86,Cockburn Town,TC,82.6,clear sky,21.46,-71.14,Osprey Beach Hotel
88,Ahuimanu,US,84.2,broken clouds,21.44,-157.84,Paradise Bay Resort
89,Kavaratti,IN,84.11,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
93,Merauke,ID,80.65,scattered clouds,-8.47,140.33,
96,Majene,ID,81.54,overcast clouds,-3.54,118.97,Kost Putri RABBANI
99,San Ignacio,BZ,80.6,broken clouds,17.16,-89.07,Rainforest Haven Inn
100,Dwarka,IN,85.66,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
104,Licheng,CN,87.01,broken clouds,23.3,113.83,Xincheng Tourism Industry
106,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
107,Chokurdakh,RU,89.71,overcast clouds,70.63,147.92,
